Name,URL,Address,Trust,Postcode,ID,Hospital,Rating,Care Quality Commission inspection ratings,Friends and Family Test score: A&E,Friends and Family Test Score: Community,Friends and Family Test score: Inpatient,Friends and Family Test score: Maternity,Friends and Family test score: Outpatients,Friends and Family Test score: Staff - Care,Friends and Family Test score: Staff - Work,Friends and Family Test score: Mental Health,Friends and Family Test score: Ambulance patient transport
The Lister Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151800,"Chelsea Bridge Road, London, SW1W 8RH",Ashford and St Peter's Hospitals NHS Foundation Trust,SW1W 8RH,151800,The Lister Hospital,NA,NA,NA,NA,NA,NA,92%,73%,55%,NA,NA
Woking Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99654,"Heathside Road, Woking, Surrey, GU22 7HS",Ashford and St Peter's Hospitals NHS Foundation Trust,GU22 7HS,99654,Woking Community Hospital (Virgin Care),NA,NA,NA,97%,NA,NA,100%,NA,NA,NA,NA
Blackberry Hill Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2799,"Manor Road, Fishponds, Bristol, BS16 2EW",Avon and Wiltshire Mental Health Partnership NHS Trust,BS16 2EW,2799,Blackberry Hill Hospital,NA,NA,NA,NA,NA,NA,NA,72%,56%,89%,NA
Bristol Royal Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2939,"Marlborough Street, Bristol, Avon, BS2 8HW",Avon and Wiltshire Mental Health Partnership NHS Trust,BS2 8HW,2939,Bristol Royal Infirmary,NA,NA,69%,NA,98%,NA,96%,92%,73%,NA,NA
Callington Road Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2932,"Marmalade Lane, Brislington, Bristol, BS4 5BJ",Avon and Wiltshire Mental Health Partnership NHS Trust,BS4 5BJ,2932,Callington Road Hospital,NA,NA,NA,NA,NA,NA,NA,72%,56%,89%,NA
Hillview Lodge,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2965,"Royal United Hospital, Combe Park, Bath, Avon, BA1 3NG",Avon and Wiltshire Mental Health Partnership NHS Trust,BA1 3NG,2965,"Royal United Hospitals, Bath",NA,Good,91%,NA,97%,NA,98%,83%,63%,NA,NA
Long Fox Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2377,"Weston General Hospital, Grange Road, Uphill, Weston-Super-Mare, Avon, BS23 4TQ",Avon and Wiltshire Mental Health Partnership NHS Trust,BS23 4TQ,2377,Weston General Hospital,NA,Requires Improvement,92%,NA,98%,NA,99%,63%,49%,NA,NA
Melksham Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114825,"Spa Road, Melksham, Wiltshire, SN12 7NZ",Avon and Wiltshire Mental Health Partnership NHS Trust,SN12 7NZ,114825,Melksham Community Hospital,NA,NA,NA,NA,NA,NA,NA,72%,56%,89%,NA
Royal United Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=108158,"Combe Park, Bath, BA1 3NG",Avon and Wiltshire Mental Health Partnership NHS Trust,BA1 3NG,108158,"Royal United Hospitals, Bath",NA,Good,91%,NA,97%,NA,98%,83%,63%,NA,NA
Royal United Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111523,"Combe Park, Bath, Avon, BA1 3NG",Avon and Wiltshire Mental Health Partnership NHS Trust,BA1 3NG,111523,"Royal United Hospitals, Bath",NA,Good,91%,NA,97%,NA,98%,83%,63%,NA,NA
Salisbury District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=108159,"Odstock Road, Salisbury, Wiltshire, SP2 8BJ",Avon and Wiltshire Mental Health Partnership NHS Trust,SP2 8BJ,108159,Salisbury District Hospital,NA,Good,96%,NA,97%,NA,98%,100%,64%,NA,NA
Savernake Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114827,"Savernake Hospital, Marlborough, Wiltshire, SN8 3HL",Avon and Wiltshire Mental Health Partnership NHS Trust,SN8 3HL,114827,Savernake Hospital,NA,NA,NA,NA,NA,NA,97%,75%,60%,NA,NA
St Martins Hospital (Bath),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2893,"Midford Road, Bath, BA2 5RP",Avon and Wiltshire Mental Health Partnership NHS Trust,BA2 5RP,2893,St Martins Hospital (Bath),NA,NA,NA,NA,NA,NA,NA,72%,56%,89%,NA
Westbury Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114826,"The Butts, Westbury, Wiltshire, BA13 3EL",Avon and Wiltshire Mental Health Partnership NHS Trust,BA13 3EL,114826,Westbury Hospital,NA,NA,NA,NA,NA,NA,NA,72%,56%,89%,NA
Wiltshire IAPT,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3070,"Lodge 3, Devizes, Wiltshire, SN10 5DS",Avon and Wiltshire Mental Health Partnership NHS Trust,SN10 5DS,3070,Wiltshire IAPT,NA,NA,NA,NA,NA,NA,NA,72%,56%,89%,NA
Baddow Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119808,"Essex Healthcare Park, West Hanningfield Road, Great Baddow, Chelmsford, Essex, CM2 8FR","Barking, Havering and Redbridge University Hospitals NHS Trust",CM2 8FR,119808,Baddow Hospital,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barking Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100845,"Upney Lane, Barking, Essex, IG11 9LX","Barking, Havering and Redbridge University Hospitals NHS Trust",IG11 9LX,100845,Barking Community Hospital,NA,NA,NA,97%,NA,NA,NA,73%,65%,89%,NA
Basildon Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113669,"Nethermayne, Basildon, Essex, SS16 5NL","Barking, Havering and Redbridge University Hospitals NHS Trust",SS16 5NL,113669,Basildon University Hospital,NA,Good,83%,NA,96%,NA,95%,75%,54%,NA,NA
Chadwell Heath Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=147592,"Grove Road, Romford, Essex, RM6 4XH","Barking, Havering and Redbridge University Hospitals NHS Trust",RM6 4XH,147592,Chadwell Heath Hospital,NA,NA,NA,NA,NA,NA,95%,62%,48%,NA,NA
King George Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=577,"Barley Lane, Ilford, Essex, IG3 8YB","Barking, Havering and Redbridge University Hospitals NHS Trust",IG3 8YB,577,King George Hospital,NA,Requires Improvement,91%,NA,94%,NA,95%,62%,48%,NA,NA
Nuffield Health Brentwood Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=152503,"Shenfield Road, Shenfield, Brentwood, CM15 8EH","Barking, Havering and Redbridge University Hospitals NHS Trust",CM15 8EH,152503,"Nuffield Health, Brentwood Hospital",NA,Good,NA,NA,100%,NA,98%,NA,NA,NA,NA
Private Hospitals,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119645,"Gubbins Lane, Romford, Essex, RM3 0PU","Barking, Havering and Redbridge University Hospitals NHS Trust",RM3 0PU,119645,Private Hospitals,NA,NA,NA,NA,NA,NA,95%,62%,48%,NA,NA
Private Hospitals,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119646,"Gubbins Lane, Romford, Essex, RM3 0PU","Barking, Havering and Redbridge University Hospitals NHS Trust",RM3 0PU,119646,Private Hospitals,NA,NA,NA,NA,NA,NA,95%,62%,48%,NA,NA
Queen's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=627,"Rom Valley Way, Romford, Essex, RM7 0AG","Barking, Havering and Redbridge University Hospitals NHS Trust",RM7 0AG,627,Queen's Hospital,NA,Requires Improvement,84%,NA,96%,NA,95%,62%,48%,NA,NA
Southend Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=135608,"Prittlewell Chase, Westcliff-On-Sea, Essex, SS0 0RY","Barking, Havering and Redbridge University Hospitals NHS Trust",SS0 0RY,135608,Southend Hospital,NA,Requires Improvement,81%,NA,88%,NA,95%,74%,57%,NA,NA
Spire Hartswood Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113749,"Eagle Way, Brentwood, Essex, CM13 3LE","Barking, Havering and Redbridge University Hospitals NHS Trust",CM13 3LE,113749,Spire Hartswood Hospital,NA,Requires Improvement,NA,NA,93%,NA,96%,NA,NA,NA,NA
Spire London East Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=152502,"Roding Hospital, Roding Lane South, Ilford, IG4 5PZ","Barking, Havering and Redbridge University Hospitals NHS Trust",IG4 5PZ,152502,Spire London East Hospital,NA,Good,NA,NA,94%,NA,96%,NA,NA,NA,NA
The Chelmsford Private Day Surgery Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=131641,"Fenton House, 85-89 New London Road, Chelmsford, Essex, CM2 0PP","Barking, Havering and Redbridge University Hospitals NHS Trust",CM2 0PP,131641,The Chelmsford Private Day Surgery Hospital,NA,NA,NA,NA,NA,NA,95%,62%,48%,NA,NA
The Kings Oak Private Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=127799,"Chase Farm North Side, The Ridgeway, Enfield, Middlesex, EN2 8SD","Barking, Havering and Redbridge University Hospitals NHS Trust",EN2 8SD,127799,BMI The Kings Oak Hospital,NA,Good,NA,NA,99%,NA,NA,NA,NA,NA,NA
Victoria Hospital (Romford),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=110575,"Pettits Lane, Romford, Essex, RM1 4HL","Barking, Havering and Redbridge University Hospitals NHS Trust",RM1 4HL,110575,Victoria Hospital (Romford),NA,NA,NA,NA,NA,NA,95%,62%,48%,NA,NA
Chase Farm Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2728,"127 The Ridgeway, Enfield, Middlesex, EN2 8JL","Barnet, Enfield and Haringey Mental Health NHS Trust",EN2 8JL,2728,Chase Farm Hospital,NA,Good,NA,NA,92%,NA,89%,78%,57%,84%,NA
Edgware Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2622,"Burnt Oak Broadway, Edgware, Middlesex, HA8 0AD","Barnet, Enfield and Haringey Mental Health NHS Trust",HA8 0AD,2622,Edgware Community Hospital,NA,NA,NA,NA,NA,NA,89%,78%,57%,84%,NA
Finchley Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2698,"Granville Road, London, Greater London, N12 0JE","Barnet, Enfield and Haringey Mental Health NHS Trust",N12 0JE,2698,Finchley Memorial Hospital,NA,No rating,NA,NA,NA,NA,89%,78%,57%,84%,NA
Royal National Orthopaedic Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2530,"Brockley Hill, Stanmore, Middlesex, HA7 4LP","Barnet, Enfield and Haringey Mental Health NHS Trust",HA7 4LP,2530,Royal National Orthopaedic Hospital (Bolsover Street),NA,Good,NA,NA,NA,NA,97%,4,4,NA,NA
St Andrews Court,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100241,"1-4 River Front, Enfield Town, Enfield, Middlesex, EN1 3SY","Barnet, Enfield and Haringey Mental Health NHS Trust",EN1 3SY,100241,St Andrews Court,NA,NA,NA,97%,NA,NA,NA,61%,54%,91%,NA
Barnsley Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=539,"Gawber Road, Barnsley, Yorkshire, S75 2EP",Barnsley Hospital NHS Foundation Trust,S75 2EP,539,Barnsley Hospital,NA,Good,87%,NA,99%,NA,95%,82%,72%,NA,NA
Gateway Surgical Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=46338,"Glen Road, Plaistow, London, E13 8SL",Barts Health NHS Trust,E13 8SL,46338,Gateway Surgical Centre,NA,NA,NA,97%,NA,NA,90%,77%,64%,NA,NA
Mile End Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=46340,"Bancroft Road, London, E1 4DG",Barts Health NHS Trust,E1 4DG,46340,Mile End Hospital,NA,No rating,NA,97%,3,NA,90%,77%,64%,NA,NA
Newham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=46346,"Glen Road, Plaistow, London, E13 8SL",Barts Health NHS Trust,E13 8SL,46346,Newham Hospital,NA,Requires Improvement,62%,97%,85%,NA,90%,77%,64%,NA,NA
St Bartholomew's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=46345,"St Bartholomew’s Hospital, West Smithfield, City of London, EC1A 7BE",Barts Health NHS Trust,EC1A 7BE,46345,St Bartholomew's Hospital,NA,Good,94%,97%,97%,NA,90%,77%,64%,NA,NA
The Royal London Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=46339,"Whitechapel Road, Whitechapel, London, E1 1FR",Barts Health NHS Trust,E1 1FR,46339,The Royal London Hospital,NA,Good,77%,97%,93%,NA,90%,77%,64%,NA,NA
Wanstead Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113674,"Makepeace Road, London, Greater London, E11 1UU",Barts Health NHS Trust,E11 1UU,113674,Wanstead Hospital,NA,NA,NA,97%,NA,NA,90%,77%,64%,NA,NA
Whipps Cross Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=46344,"Whipps Cross Road, London, E11 1NR",Barts Health NHS Trust,E11 1NR,46344,Whipps Cross Hospital,NA,Requires Improvement,76%,97%,93%,NA,90%,77%,64%,NA,NA
Basildon Hospital - Dermatology Benfleet,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=7,"Tyrells Health Centre, Seamore Avenue, Benfleet, Essex, SS7 4EX",Basildon and Thurrock University Hospitals NHS Foundation Trust,SS7 4EX,7,Basildon Hospital - Dermatology Benfleet,NA,NA,NA,NA,NA,NA,95%,75%,54%,NA,NA
Basildon Hospital - Dermatology Canvey Island,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=820,"Canvey Island Long Road Clinic, Long Road, Canvey Island, Essex, SS8 0JA",Basildon and Thurrock University Hospitals NHS Foundation Trust,SS8 0JA,820,Basildon Hospital - Dermatology Canvey Island,NA,NA,NA,NA,NA,NA,95%,75%,54%,NA,NA
Basildon University Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=744,"Nethermayne, Basildon, Essex, SS16 5NL",Basildon and Thurrock University Hospitals NHS Foundation Trust,SS16 5NL,744,Basildon University Hospital,NA,Good,83%,NA,96%,NA,95%,75%,54%,NA,NA
Braintree Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=153372,"Chadwick Drive, Braintree, CM7 2AL",Basildon and Thurrock University Hospitals NHS Foundation Trust,CM7 2AL,153372,Braintree Community Hospital,NA,Good,NA,NA,NA,NA,91%,71%,54%,NA,NA
Brentwood Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100001,"Crescent Drive, Shenfield, Brentwood, Essex, CM15 8DR",Basildon and Thurrock University Hospitals NHS Foundation Trust,CM15 8DR,100001,Brentwood Community Hospital,NA,NA,NA,NA,NA,NA,95%,74%,57%,NA,NA
Essex Nuffield Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113680,"The Essex Nuffield Hospital, Shenfield Road, Shenfield, Brentwood, Essex, CM15 8EH",Basildon and Thurrock University Hospitals NHS Foundation Trust,CM15 8EH,113680,"Nuffield Health, Brentwood Hospital",NA,Good,NA,NA,100%,NA,98%,NA,NA,NA,NA
Orsett Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=209,"Rowley Road, Orsett, Grays, Essex, RM16 3EU",Basildon and Thurrock University Hospitals NHS Foundation Trust,RM16 3EU,209,Orsett Hospital Minor Injuries Unit - North East London NHS Foundation Trust,NA,NA,NA,97%,NA,NA,NA,73%,65%,89%,NA
Southend Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113681,"Prittlewell Chase, Westcliff-On-Sea, Essex, SS0 0RY",Basildon and Thurrock University Hospitals NHS Foundation Trust,SS0 0RY,113681,Southend Hospital,NA,Requires Improvement,81%,NA,88%,NA,95%,74%,57%,NA,NA
Thurrock Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113734,"Long Lane, Grays, Essex, RM16 2PX",Basildon and Thurrock University Hospitals NHS Foundation Trust,RM16 2PX,113734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bedford Hospital North Wing,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=421,"32-34 Kimbolton Road, Bedford, Bedfordshire, MK40 2NS",Bedford Hospital NHS Trust,MK40 2NS,421,Bedford Hospital North Wing,NA,NA,NA,NA,NA,NA,93%,76%,62%,NA,NA
Bedford Hospital South Wing,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=532,"South Wing, Kempston Road, Bedford, Bedfordshire, MK42 9DJ",Bedford Hospital NHS Trust,MK42 9DJ,532,Bedford Hospital South Wing,NA,Requires Improvement,82%,NA,90%,NA,93%,76%,62%,NA,NA
L&d Bowel Cancer Screening,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=658,"Luton and Dunstable Hospital, Lewsey Road, Luton, Bedfordshire, LU4 0DZ",Bedford Hospital NHS Trust,LU4 0DZ,658,Luton and Dunstable Hospital,NA,Good,99%,NA,96%,NA,96%,83%,66%,NA,NA
Basingstoke And North Hampshire Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=135824,"Aldermaston Road, Basingstoke, Hampshire, RG24 9NA",Berkshire Healthcare NHS Foundation Trust,RG24 9NA,135824,Basingstoke and North Hampshire Hospital,NA,Requires Improvement,86%,NA,97%,NA,95%,82%,57%,NA,NA
Frimley Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114961,"Portsmouth Road, Frimley, Camberley, Surrey, GU16 7UJ",Berkshire Healthcare NHS Foundation Trust,GU16 7UJ,114961,Frimley Park Hospital,NA,Outstanding,89%,98%,98%,NA,98%,88%,68%,NA,NA
King Edward Vii,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=85790,"St. Leonards Road, Windsor, Berkshire, SL4 3DP",Berkshire Healthcare NHS Foundation Trust,SL4 3DP,85790,King Edward Vii,NA,NA,NA,96%,NA,NA,NA,83%,73%,79%,NA
Prospect Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2618,"Honey End Lane, Tilehurst, Reading, Berkshire, RG30 4EJ",Berkshire Healthcare NHS Foundation Trust,RG30 4EJ,2618,Prospect Park Hospital,NA,NA,NA,96%,NA,NA,NA,83%,73%,79%,NA
Royal Berkshire Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114946,"London Road, Reading, Berkshire, RG1 5AN",Berkshire Healthcare NHS Foundation Trust,RG1 5AN,114946,Royal Berkshire Hospital,NA,NA,NA,NA,NA,NA,NA,83%,73%,NA,NA
St Mark's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=85788,"St Mark's Road, Maidenhead, Berkshire, Berkshire, SL6 6DU",Berkshire Healthcare NHS Foundation Trust,SL6 6DU,85788,St Mark's Hospital,NA,NA,NA,96%,NA,NA,NA,83%,73%,79%,NA
St Peters Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115895,"Guildford Road, Chertsey, Surrey, KT16 0PZ",Berkshire Healthcare NHS Foundation Trust,KT16 0PZ,115895,St Peter's Hospital,NA,Good,73%,NA,98%,NA,100%,65%,35%,NA,NA
Townlands Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114851,"York Road, Henley-On-Thames, Oxfordshire, RG9 2EB",Berkshire Healthcare NHS Foundation Trust,RG9 2EB,114851,Townlands Memorial Hospital - Oxford Health NHS Foundation Trust ,NA,NA,NA,96%,NA,NA,NA,79%,66%,92%,NA
Upton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=85789,"Albert Street, Slough, Berkshire, SL1 2BJ",Berkshire Healthcare NHS Foundation Trust,SL1 2BJ,85789,Upton Hospital,NA,No rating,NA,96%,NA,NA,NA,83%,73%,79%,NA
West Berkshire Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=34237,"London Road, RG18 3AS",Berkshire Healthcare NHS Foundation Trust,RG18 3AS,34237,West Berkshire Community Hospital,NA,NA,NA,96%,NA,NA,NA,83%,73%,79%,NA
West Berkshire Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=95639,"London Road, Benham Hill, Thatcham, Berkshire, RG18 3AS",Berkshire Healthcare NHS Foundation Trust,RG18 3AS,95639,West Berkshire Community Hospital,NA,NA,NA,96%,NA,NA,NA,83%,73%,79%,NA
Wexham Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100171,"Wexham Street, Wexham, Slough, Berkshire, SL2 4HL",Berkshire Healthcare NHS Foundation Trust,SL2 4HL,100171,Wexham Park Hospital,NA,Good,97%,98%,95%,NA,98%,88%,68%,NA,NA
Wokingham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=34238,"41 Barkham Road, Wokingham, Berkshire, RG41 2XR",Berkshire Healthcare NHS Foundation Trust,RG41 2XR,34238,Wokingham Hospital,NA,Good,NA,96%,NA,NA,NA,83%,73%,79%,NA
Ardenleigh,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2323,"385 Kingsbury Road, Erdington, Birmingham, West Midlands, B24 9SA",Birmingham and Solihull Mental Health NHS Foundation Trust,B24 9SA,2323,Ardenleigh,NA,No rating,NA,NA,NA,NA,NA,69%,65%,92%,NA
Ashcroft,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2766,"Ashcroft Complex Care Unit, The Moorings, Hockley, Birmingham, West Midlands, B18 5SD",Birmingham and Solihull Mental Health NHS Foundation Trust,B18 5SD,2766,Ashcroft,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Barberry ,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2723,"25 Vincent Drive, Birmingham, B15 2FG",Birmingham and Solihull Mental Health NHS Foundation Trust,B15 2FG,2723,Barberry ,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Dan Mooney House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2328,"1 Woodside Crescent, Off Downing Close, Knowle, Solihull, B93 0QA",Birmingham and Solihull Mental Health NHS Foundation Trust,B93 0QA,2328,Dan Mooney House,NA,No rating,NA,NA,NA,NA,NA,69%,65%,92%,NA
David Bromley House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2682,"1 Woodside Crescent, Off Downing Close, Knowle, Solihull, B93 0QA",Birmingham and Solihull Mental Health NHS Foundation Trust,B93 0QA,2682,David Bromley House,NA,NA,NA,NA,NA,NA,NA,69%,65%,92%,NA
Eden Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=95207,"Fentham Road, 355 Slade Road, Erdington, Birmingham, West Midlands, B23 6AL",Birmingham and Solihull Mental Health NHS Foundation Trust,B23 6AL,95207,Eden Unit,NA,No rating,NA,NA,NA,NA,NA,69%,65%,92%,NA
